,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
1,dripping,1.5616E-08,0.0061,1015.5,0.001,0.012601,1.6,1.6,0.004797937,0.000484089,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
2,dripping,1.5616E-08,0.0061,1015.5,0.001,0.012601,1.6,1.6,0.004797937,0.000484089,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
3,dripping,3.90656E-08,0.01526,1015.5,0.001,0.012601,1.6,1.6,0.030026448,0.001211015,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
4,dripping,3.90656E-08,0.01526,1015.5,0.001,0.012601,1.6,1.6,0.030026448,0.001211015,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
5,dripping,7.81056E-08,0.03051,1015.5,0.001,0.012601,1.6,1.6,0.1200271,0.002421236,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
6,dripping,7.81056E-08,0.03051,1015.5,0.001,0.012601,1.6,1.6,0.1200271,0.002421236,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
7,dripping,1.95277E-07,0.07628,1015.5,0.001,0.012601,1.6,1.6,0.750267731,0.006053488,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
8,dripping,1.95277E-07,0.07628,1015.5,0.001,0.012601,1.6,1.6,0.750267731,0.006053488,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
9,dripping,3.90579E-07,0.15257,1015.5,0.001,0.012601,1.6,1.6,3.001464363,0.012107769,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
10,dripping,3.90579E-07,0.15257,1015.5,0.001,0.012601,1.6,1.6,3.001464363,0.012107769,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
11,dripping,7.81158E-07,0.30514,1015.5,0.001,0.012601,1.6,1.6,12.00585745,0.024215538,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
12,dripping,7.81158E-07,0.30514,1015.5,0.001,0.012601,1.6,1.6,12.00585745,0.024215538,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
13,dripping,1.17174E-06,0.45771,1015.5,0.001,0.012601,1.6,1.6,27.01317927,0.036323308,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
14,dripping,1.17174E-06,0.45771,1015.5,0.001,0.012601,1.6,1.6,27.01317927,0.036323308,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
15,dripping,1.56229E-06,0.61027,1015.5,0.001,0.012601,1.6,1.6,48.02185601,0.048430283,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
16,dripping,1.56229E-06,0.61027,1015.5,0.001,0.012601,1.6,1.6,48.02185601,0.048430283,7.43091E-09,0.29027,1350.5,0.00043,0.012601,0.16,0.16,1.444820402,0.009905254
17,dripping,1.95287E-06,0.76284,1015.5,0.001,0.012601,1.6,1.6,75.03464182,0.060538053,6.36954E-09,0.24881,1350.5,0.00043,0.012601,0.16,0.16,1.061561653,0.008490461
