,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
0,squeezing,7.8e-09,0.195,1005.2022276074639,3.44e-05,3e-05,0.2,0.1,254.8187646984921,0.096,7.8e-09,0.195,1000.0,0.001,3e-05,0.2,0.1,253.50000000000003,6.500000000000001
1,jetting,3.666666666666667e-05,3143.5756744398727,1058.9488269056355,0.00692,0.018125,0.108,0.75,62354607.91844897,0.175,1.6666666666666669e-06,3143.5756744398727,800.0,0.00019365,0.018125,0.108,0.75,47106795.97287507,33.586396102360354
2,jetting,2.270833333333333e-05,141.92708333333331,696.0,0.1422,0.02953,0.4,0.365,189904.97393187715,0.665,5.205e-07,92.53333333333336,998.0,0.00089,0.001,0.075,0.365,0.0457,82.35466666666669
3,squeezing,7.2e-09,0.18,1000.0,0.001,821.6307315261818,0.2,0.1,7.886754659192676e-06,2.1907651831090762e-07,7.2e-09,0.18,1000.0,0.001,0.28759358118279577,0.2,0.1,0.02253179634034072,0.0006258832316761311
4,squeezing,0.13501541179764973,0.2,801.717678431005,0.04354868181689729,821.6307315261818,821.6307315261818,6.0,0.0320687071372402,0.01,1.654201358750907e-08,0.2,1000.0,0.001,0.28759358118279577,0.28759358118279577,6.0,0.04000000000000001,0.0006954258129734791
5,squeezing,4.87925e-07,0.004261725914927068,959.9304287438049,0.2042525,0.00985,10.7,0.305,0.018939056366117514,0.08837240329326305,1.5075000000000002e-10,0.0037687500000000004,999.0,1.2,0.00985,0.2,0.3,0.00028810706773477163,0.45913705583756353
6,dripping,5.826666666666666e-11,0.005826666666666667,840.0,0.03,0.038,0.1,0.05,7.504746666666667e-05,0.0046,5.826666666666666e-11,0.005826666666666667,1000.0,0.001,0.038,0.1,0.05,8.93422222222222e-05,0.00015333333333333334
7,squeezing,4.166666666666667e-09,0.01601947968729975,769.6461625808123,0.00104,0.022,0.51,0.721,0.004578628590267201,0.000884,2.083333333333333e-09,0.01601947968729975,877.5,1.9e-05,0.022,0.51,0.721,0.005220251569223681,1.3835005184486152e-05
8,squeezing,6.6700000000000005e-06,41.6875,1000.0,0.04,0.04,0.4,0.4,17378.4765625,5.0,3.5435e-09,0.026597860761869024,380.53116328975005,0.04479217896503312,0.04,0.365,0.075,0.0024564985846967633,0.029784403483316735
9,jetting,4.25e-08,0.07555555555555554,935.5942113866261,0.004745402130686461,821.6307315261818,0.75,0.75,4.8753401455571825e-06,4.3637790136274546e-07,1.75e-10,0.07555555555555554,985.5349902188091,0.00037,0.28759358118279577,0.75,0.75,0.014671919284915812,9.720507474673739e-05
10,jetting,1.835e-09,0.36,1006.2,0.00102,0.01493,0.07139483330201299,821.6307315261818,0.6235859057197398,0.02459477561955794,1.66667e-09,0.11,723.1,0.0019,0.01493,0.12309161407076215,0.28759358118279577,0.0721360554740974,0.013998660415271267
11,jetting,5.56e-10,0.25,844.6,0.001475,0.0081,0.15,0.1,0.9775462962962963,0.00055,5.205e-10,0.05205,1020.0,0.00635,0.01415,0.1,0.1,0.019529233568904594,0.023358127208480562
12,squeezing,1.38889e-08,4.20080151228735,957.8826150547318,0.20848200130103794,821.6307315261818,0.0574999999999999,0.1,0.0011829538015713345,0.0010659186332080202,4.1666666666665e-08,104.1666666666625,999.0,0.001,0.28759358118279577,0.02,0.1,753.8307152348632,0.36220094425700583
14,squeezing,6.94e-11,1.0280307866484333e-10,1000.0,0.001,821.6307315261818,821.6307315261818,0.1325,1.0568472982969967e-20,1.251207808085346e-16,8.33e-12,0.00010071325302610091,550.9394537086185,0.0012722651088889697,0.28759358118279577,0.28759358118279577,0.07,5.588266662959151e-09,4.4553830895958743e-07
16,squeezing,2.5e-11,3.7032809317306677e-11,1880.0,0.1147,0.0483,821.6307315261818,821.6307315261818,4.3859200556687655e-17,0.0017,5.56e-09,0.06722277152762557,103.0,0.001,0.0483,0.28759358118279577,0.28759358118279577,0.0027714184943278255,0.001391775808025374
17,squeezing,8.333335e-06,4.8,1070.0,0.00282,0.03056,0.365,0.365,294.4460732984293,0.44293193717277485,6.66667e-06,2666.6679999999997,800.0,0.001,0.03056,0.05,0.365,9307746.364167538,87.2600785340314
18,jetting,3.333333333333333e-05,0.001,1050.0,0.02979677368178725,821.6307315261818,0.8,0.8,1.0223570854509023e-09,3.6265407972800196e-08,4.33e-05,4330.0,800.0,0.001,0.28759358118279577,0.1,0.8,5215387.609943384,15.055968850875823
19,squeezing,1.388889e-09,0.00868055625,901.5,0.0426,0.0015,0.4,0.4,0.018114634456983147,0.048,1.39e-07,13.899999999999999,1100.0,0.004,0.0058,0.1,0.1,3664.327586206896,0.006
20,squeezing,2.777777777777778e-11,0.0015,1039.0,0.001002,821.6307315261818,0.01,0.01,2.845256281562913e-11,1.829288927896079e-09,5.56e-11,0.0015,850.0,0.02,0.28759358118279577,0.01,0.01,6.650009336558894e-08,0.00010431387194602187
22,jetting,6.750770589882485e-13,1e-12,877.5,0.0055,0.004,821.6307315261818,821.6307315261818,1.802452417285561e-19,1.3749999999999999e-12,8.271006793754535e-20,1e-12,1000.0,0.001,0.004,0.28759358118279577,0.28759358118279577,7.189839529569893e-23,2.5e-13
23,squeezing,2.777777777777778e-07,1.7361111111111114,1366.8,0.25176,821.6307315261818,0.4,0.4,0.0020055953764477547,0.0005319705271021809,5.555555555555556e-08,1.7361111111111114,991.098274448251,0.013469273220404771,0.28759358118279577,0.4,0.4,4.154823273803936,0.08130972464810678
24,squeezing,1.388888888888889e-11,0.001388888888888889,1000.0,0.0238,0.00365,0.5,0.1,0.0002642482665313716,0.009056316590563168,1.388888888888889e-11,0.001388888888888889,1000.0,0.001,0.00365,0.1,0.1,5.2849653306274315e-05,0.0075
25,squeezing,1.1111e-08,0.10233926881443117,1096.3185333614172,0.1087,0.5302119999999999,0.3295,0.3299999999999999,0.0071355465173754675,0.0791,1.1111111111111112e-08,0.10233926881443117,82.5,0.07,0.5302119999999999,0.3295,0.3299999999999999,0.0005369630903515962,0.013511102760801688
26,squeezing,2.9249999999999996e-11,8.125e-05,997.0,0.00089,821.6307315261818,0.6,821.6307315261818,4.8063619530937185e-12,8.801094850198615e-11,1.3281250000000001e-11,3.4e-05,917.0,0.0797,0.28759358118279577,0.625,0.28759358118279577,2.3037110121692574e-09,9.422324339977668e-06
27,squeezing,8.75e-07,0.007625,822.5,6.65,0.01506,0.4,0.4,0.0012701371596945553,3.366948871181939,6.249999999999999e-07,3.9062499999999996,997.0,0.001,0.007507,0.4,0.4,810.6041132443053,0.520347675502864
28,jetting,6.2575e-09,925.0000000000001,1050.0,0.003,0.0452,0.06,821.6307315261818,1192574.6681415935,61.393805309734525,3.33e-06,925.0000000000001,1300.0,0.003,0.0452,0.06,0.28759358118279577,1476521.0176991154,61.393805309734525
29,jetting,1.333e-08,0.0833125,1000.0,0.001,821.6307315261818,0.4,0.365,3.3791202738276936e-06,1.0139895795431941e-07,9.25825e-09,2.5717361111111114,1236.450377899415,0.031278797052297774,0.28759358118279577,0.06,0.365,1.7060885148649851,0.27970308502950014
31,squeezing,6.25e-11,0.0015625,1000.0,0.05,821.6307315261818,0.2,0.2,5.942830900360994e-10,0.0205,1.38e-11,0.000345,935.0,0.1537,0.28759358118279577,0.2,0.2,7.73928086588724e-08,0.00018437998435819094
32,squeezing,2.22e-07,1.3875,993.5534369705347,0.005,0.002,0.4,0.4,382.5491217785612,0.06,1.3888888888888888e-10,0.0010425137090552743,995.6010096448931,0.005,0.002,0.365,0.4,0.0001974748290152347,0.13715
33,squeezing,1.111111111111111e-09,0.006944444444444444,876.0,0.036,0.0015,0.4,0.4,0.011265432098765432,0.2825,5.555555555555555e-10,0.003472222222222222,1100.0,0.002,0.0015,0.4,0.4,0.003536522633744856,0.004629629629629629
34,squeezing,0.01703635433932464,189292.82599249604,1.21,1.81e-05,821.6307315261818,0.3,821.6307315261818,15830.632244922717,0.00417,1.2390727411058768e-07,1.376747490117641,998.2,0.00101,0.28759358118279577,0.3,0.28759358118279577,1.973641271676921,0.004835
35,squeezing,1.67e-09,0.05,998.0,0.001002,0.03,0.2,0.25,2.9004,0.151,3.33e-09,0.05,950.0,0.02,0.0089,0.2,0.25,0.05337078651685394,0.11235955056179775
36,squeezing,4.027777777777778e-05,0.5382,1060.9440581524318,0.0019649999999999,0.072,0.4,0.4,1.7072902753719401,0.04115,4.027777777777778e-05,0.5382,800.0,0.00175,0.072,0.4,0.4,1.2873744000000003,0.01308125
37,squeezing,1.666666666666667e-07,11.574074074074078,1000.0,0.00092,821.6307315261818,0.12,0.04,0.01956487539213497,1.2959773459750199e-05,4.45e-06,11.574074074074078,1000.0,0.00092,0.28759358118279577,0.12,0.04,55.89520744707108,0.037024985412939866
38,squeezing,2.5e-05,7.33,1093.0,0.0038275,0.04057,0.4,0.4,579.0060409169338,0.06105,2.5e-05,52.50997689561018,300.0,0.001,0.04057,0.69,0.71,14068.5387831044,0.03705
39,squeezing,8.333333333333333e-05,20.833333333333332,952.6848530844799,0.017625,0.036,2.0,2.0,22971.76053926697,1.0,1.66667e-08,0.010666687999999999,800.0,0.001,0.03645,1.25,2.0,0.003121487870763895,0.00029263890260630996
40,squeezing,5.416666666666667e-06,15.0462962962963,1000.0,0.001,0.005,0.6,0.175,0.1,0.01,3.333333333333333e-09,15.0462962962963,993.5,0.01,0.005,0.6,0.175,26990.338863168738,30.0925925925926
41,squeezing,6.666666666666667e-09,0.01851851851851852,1000.0,0.001,821.6307315261818,0.6,0.3,2.504304050193275e-07,0.002535,1.6666666666666667e-09,0.00462962962962963,15.15,0.0022,0.28759358118279577,0.6,0.3,0.205,0.0153
42,dripping,0.003,0.625,1000.0,0.0155,0.011525,69.2820323027551,821.6307315261818,0.0001025,0.000615,3.0,0.1,1000.0,0.001,0.011525,5477.2255750516615,0.28759358118279577,6.874999999999999e-05,0.0001145
43,squeezing,1.4e-10,0.014,1000.0,0.001,0.0365,0.1,0.033,0.0005369863013698631,0.0305,4.08e-10,0.07253333333333334,960.0,0.01,0.02855,0.075,0.033,0.5,0.01
44,squeezing,5e-06,13.888888888888893,698.0,0.00053,0.00537,0.6,821.6307315261818,15044.14097523968,0.0018,1.66667e-09,13.888888888888893,995.6,0.02415,0.00537,0.6,0.28759358118279577,21458.376439754476,62.46120422098079
45,squeezing,2.0800000000000003e-09,1.0,967.5,0.63,0.02095,0.75,821.6307315261818,0.0026,0.02,1.39e-09,1.0,1221.0,0.12,0.04698,0.75,0.28759358118279577,19.492337164750957,0.001
46,squeezing,2.5e-10,0.004,998.0,0.001,821.6307315261818,0.25,0.221,4.858630339428573e-09,0.01,8.33e-11,0.0013328,800.0,0.01,0.28759358118279577,0.25,0.221,1.2353237041621874e-06,4.634317617655265e-05
47,squeezing,4.16667e-10,0.05,1000.0,0.0345,821.6307315261818,0.22,0.07475,6.694004726166624e-07,2.099483300479532e-06,2.8472222222222224e-08,3.5150891632373122,948.4481045542518,0.017725323060753764,0.28759358118279577,0.09,0.076,3.667326571154327,0.2166463199543176
48,squeezing,4.108153657630908e-06,4.108153657630909,1.0,0.001,821.6307315261818,1.0,1.0,2.054076828815454e-05,5e-06,9.503090433271342e-11,9.503090433271343e-05,929.3673439421077,0.015131581836572854,0.28759358118279577,1.0,1.0,2.9183538147560147e-08,5e-06
50,squeezing,1.388888888888889e-07,13.888888888888891,1000.0,0.1,0.034985,0.1,0.08,551.3826913474384,0.016,1.39e-07,8.895999999999999,1000.0,0.001,0.034985,0.125,0.08,282.75981134772036,0.015
51,squeezing,5.56e-10,0.0034750000000000002,1000.09,0.00402,0.01288,0.4,0.4,0.0003750531616847827,0.48,2.225e-10,0.0034750000000000002,1366.8,0.25176,0.01288,0.4,0.4,0.0005125765295031056,0.06792437888198757
52,squeezing,2.01575e-08,2.9859554152544374e-08,995.4048200581117,0.0008536394097583757,821.6307315261818,821.6307315261818,821.6307315261818,8.874959440374092e-16,3.102280769741875e-14,8.333e-06,100.74952430570214,615.5993657600081,0.04086170278157774,0.28759358118279577,0.28759358118279577,0.28759358118279577,6248.620830569348,14.314634911647381
54,squeezing,2.5e-09,0.0625,1052.0,0.00143,821.6307315261818,0.2,821.6307315261818,1.0002972971487623e-06,0.0025,2.5e-09,0.0625,800.0,0.001,0.28759358118279577,0.2,0.28759358118279577,0.002173205665542122,0.00021732056655421222
55,squeezing,1.66667e-06,166.667,999.0,0.001,0.65,0.1,821.6307315261818,4269.247846170924,0.001,1.9775390625000002e-07,5.625,585.6125310450665,0.027159295675670596,0.675,0.1875,0.28759358118279577,5.14698513613828,0.22632746396392162
57,squeezing,1.7000000000000001e-07,0.17,1.225,1e-05,0.072,1.0,821.6307315261818,1.0,0.0074,1.7000000000000001e-07,0.17,1000.0,0.001,0.072,1.0,0.28759358118279577,0.40138888888888896,0.00885
58,squeezing,2.4305555555555553e-09,0.006751543209876541,997.1,0.0035099999999999,0.01169,0.6000000000000001,0.6000000000000001,0.0023328217643074608,0.05,1.875e-07,1.171875,1366.8,0.25176,0.01169,0.4,0.6000000000000001,64.22631856822069,25.23791702309666
59,dripping,4.166666666666668e-08,0.8330000000000001,999.0,0.0535,23.5,0.1,0.028,0.002949766429787235,0.2,8.33e-09,0.8330000000000001,847.1213382685116,0.16675,23.5,0.1,0.028,0.0025013113969778694,0.016
60,squeezing,5e-09,0.26,893.0,0.0013,0.0445,0.475,821.6307315261818,0.6443647191011236,0.0065,1.5e-09,0.06666666666666668,1.3,2e-05,0.0445,0.15,0.28759358118279577,1.9475655430711616e-05,17.05
61,dripping,8.333333333333334e-09,0.004251700680272109,924.5718947956723,0.003,821.6307315261818,1.4,1.4,0.002,0.0002,5.555555555555556e-07,0.004251700680272109,1300.0,0.05,0.28759358118279577,1.4,1.4,0.00011439777150974892,0.0007391856005245314
62,squeezing,2.02e-09,0.0505,933.7725000000002,0.00576,0.0026,0.2,0.125,0.18318102447115392,0.15005,8.080000000000002e-11,0.0505,933.7725000000002,1.96071561707454,0.0026,0.04,0.079,0.036636204894230785,38.083130254717034
65,squeezing,1e-06,1.5625,827.0,0.02513,821.6307315261818,0.8,0.4,0.0019658884618394164,0.0605,3.3e-10,0.0009166666666666668,1078.8038804350836,0.5275,0.28759358118279577,0.6,0.4,1.891199915342749e-06,0.0016813367832410886
66,squeezing,1e-08,0.64,1614.0,0.00124,0.0035,0.125,0.06,23.610514285714288,0.01,1e-11,0.001,1000.0,0.001,0.0035,0.1,0.06,2.8571428571428574e-05,0.0075
67,jetting,0.000175,311.1111111111111,1087.662885094361,0.00692,0.02864,0.75,0.75,2756852.9572534496,75.17070142768466,0.000175,311.1111111111111,985.5349902188091,0.00037,0.02864,0.75,0.75,2497993.7161556818,4.019242706393544
68,dripping,1.66667e-06,12.510189528992308,917.55,0.00545,0.0033125,0.365,0.365,15823.206492324562,0.355,8.333333333333335e-08,14.81481481481482,917.55,0.00089,0.003645,0.075,0.365,4143.677284966725,3.6173347558807105
69,dripping,0.0001166666666666,116.66666666660001,985.5349902188091,0.00037,821.6307315261818,1.0,821.6307315261818,16.326344355235733,1.0,5e-05,50.00000000000001,1009.7483065889676,0.02877587700035129,0.28759358118279577,1.0,0.28759358118279577,8777.562962602835,0.1
70,dripping,1.7666666666666663e-10,0.0011041666666666665,938.0,0.0084,0.0023,0.4,0.31,0.0001988860205314009,0.004032608695652173,1.9333333333333329e-10,0.004833333333333332,1430.0,0.0006,0.0023,0.2,0.31,0.0029049033816425105,0.0012608695652173909
71,jetting,1.6666666666666667e-09,0.0004166666666666667,858.0,0.02955,821.6307315261818,2.0,1.8,3.6259192266735877e-10,1.498544239835028e-08,1.6666666666666669e-06,0.0004166666666666667,956.4605772595985,0.0056776944888791364,0.28759358118279577,2.0,1.8,1.1547697474268046e-06,0.007
72,squeezing,0.01643261463052363,4108.153657630908,799.0,0.001,821.6307315261818,2.0,1.0,32824.14772447095,0.005,0.01643261463052363,4108.153657630908,380.53116328975005,0.04479217896503312,0.28759358118279577,2.0,1.0,44661611.971746735,639.8374855643925
73,squeezing,2.777777777777777e-06,69.44444444444443,1000.0,0.001,0.01,0.2,0.1,0.1,0.0175,1.39e-06,0.1,800.0,0.01,0.0265,0.2,0.1,0.05,0.00325
74,squeezing,4.165e-08,0.09141289437585733,1425.0,0.0155,0.0199999999999999,0.675,0.75,0.4018866331351946,0.07084499314128978,2.085e-08,0.03706666666666667,517.0,4.7e-05,0.0199999999999999,0.75,0.75,0.026637218666666806,0.035
75,squeezing,4.166666666666667e-06,0.01823,826.0,0.02513,821.6307315261818,0.8,0.4,2.6728014410084434e-07,1.237,1.1674999999999998e-06,0.00319,837.5,0.0168,0.28759358118279577,0.6,0.4,1.778026557119104e-05,0.00018634630084437344
76,dripping,1.67e-10,0.029688888888888893,1000.0,0.001,821.6307315261818,0.075,0.05,8.045860107552797e-08,3.613410227942872e-08,3.33e-11,0.053279999999999994,1300.0,0.005395,0.28759358118279577,0.025,0.525,0.000320798703575235,0.0009994854503282472
