Unnamed: 0,type,c_content,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_content,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
11.5,squeezing,Silicone oil KF96-10cs,7.8e-09,,,3.44e-05,3e-05,0.2,0.1,,0.096,water,,,,,,,,,
10.5,jetting,50 wt% glycerol solution with 1 wt% SDS,3.666666666666667e-05,,,0.00692,0.018125,0.108,0.75,,0.175,gas,1.6666666666666669e-06,,,0.00019365,,,,,
15.5,jetting,Isobutylene-isoprene rubber (IIR) solution,2.270833333333333e-05,,696.0,0.1422,0.02953,0.4,0.365,,0.665,Deionized water,5.205e-07,,998.0,0.00089,0.001,0.075,,0.0457,
14.0,squeezing,oil,,0.18,,,,,,,,water,,0.18,,,,0.2,0.1,,
15.5,squeezing,Kerosene,,0.2,,,,,6.0,,0.01,Water,,,,,,,,,
9.5,squeezing,DBD with different concentrations of Span 80,4.87925e-07,,,0.2042525,0.00985,10.7,0.305,,,DI water,1.5075000000000002e-10,,,1.2,0.00985,0.2,0.3,,
5.5,dripping,oil,,,840.0,0.03,0.038,0.1,0.05,,0.0046,water,,,,,,,,,
6.0,squeezing,mixture of ethanol and water,4.166666666666667e-09,,,0.00104,0.022,0.51,0.721,,0.000884,air,2.083333333333333e-09,,,1.9e-05,,,,,
3.5,squeezing,50% glycerol + 0.3% SDS,6.6700000000000005e-06,,1000.0,0.04,0.04,0.4,0.4,,5.0,nitrogen,3.5435e-09,,,,,0.365,0.075,,
4.0,jetting,"deionized water, SDS 1 wt%, glycerol",4.25e-08,,,,,0.75,0.75,,,n-hexane,1.75e-10,,,,,,,,
7.5,jetting,phenol + deionized water,1.835e-09,0.36,1006.2,0.00102,0.01493,,,,,aqueous solution of phenol,1.66667e-09,0.11,723.1,0.0019,,,,,
9.5,jetting,aqueous phase,5.56e-10,0.25,,0.001475,0.0081,0.15000000000000002,0.1,,0.00055,PFC,5.205e-10,,1020.0,0.00635,0.01415,0.1,0.1,,
9.5,squeezing,corn oil,1.38889e-08,,,,,0.057499999999999996,0.1,,,DI water,4.1666666666665e-08,,,,,0.02,0.1,,
3.0,,H2SO4,,,,,,,,,0.01,2-ethylanthraquinone,,,,,,,,0.01,
8.5,squeezing,water,6.94e-11,,,,,,0.1325,,,fluorescent rhodamine 110 dye,8.33e-12,,,,,,0.07,,
2.5,,water,2.061e-06,,,,,,0.07,,,water,,,,,,,0.04,,
2.0,squeezing,perfluoropolyether oil,2.4999999999999998e-11,,1880.0,0.1147,0.0483,,,,0.0017,Rhodamine B solution,5.56e-09,,103.0,0.001,,,,,
12.0,squeezing,0% glycerol-water solution,8.333335e-06,4.8,1070.0,0.00282,0.03056,0.365,0.365,,,gas,6.66667e-06,,,,,0.05,0.365,,
5.5,jetting,2-propanol,3.333333333333333e-05,0.001,1050.0,,,0.8,0.8,,,gas,4.33e-05,,,,,0.1,,,
7.0,squeezing,mineral oil,1.388889e-09,,901.5,0.0426,0.0015,0.4,0.4,,0.048,ferrofluid,1.39e-07,,1100.0,0.004,0.0058,0.1,0.1,,0.006
4.5,squeezing,"surfactant (FluoSurf 1.8 w/w% in HFE7500, Emulseo) stabilised fluorinated oil (HFE7500, 3M™ Novec)",2.777777777777778e-11,0.0015,1039.0,0.001002,,0.01,0.01,,,aqueous with biological cells,5.56e-11,,850.0,0.02,,,,,
7.5,squeezing,gas or a dielectric liquid,,,,,,,,,,air,,,,,,0.129,,,
4.0,jetting,air,,1e-12,,,0.004,,,,,water,,,,,,,,,
18.0,squeezing,IL([BMIM] [PF6]),2.777777777777778e-07,,1366.8,0.25176,,0.4,0.4,,,10% Gly,5.5555555555555555e-08,,,,,,,,
11.0,squeezing,oil,,,,0.0238,,0.5,0.1,,,water,1.388888888888889e-11,,,0.001,0.00365,0.1,0.1,,0.0075
22.0,squeezing,50% glycerol solution,1.1111e-08,,,0.1087,0.5302119999999999,0.3295,0.32999999999999996,,0.0791,hydrogen,1.1111111111111112e-08,,82.5,0.07,,,,,
7.5,squeezing,oil,,8.125e-05,997.0,0.00089,,0.6,,,,water,,3.4e-05,917.0,0.0797,,0.625,,,
10.0,squeezing,Octanol,8.75e-07,0.007625,822.5,6.65,0.01506,0.4,0.4,,,gelatin,6.249999999999999e-07,,997.0,0.001,0.007507,0.4,0.4,,
10.5,jetting,alginate solution,6.2575e-09,,,0.003,0.0452,,,,,alginate,3.33e-06,,1300.0,0.003,,0.060000000000000005,,,
5.0,jetting,oil,1.333e-08,,,,,0.4,0.365,,,alginate–gelatin,9.25825e-09,,,,,0.06,0.365,,
4.0,squeezing,"Poly(diallyldimethylammonium chloride) (PDADMAC) (20% aqueous solution, molecular weight 100−200 kg/mol, Aldrich) was diluted to a concentration of 1 mg/mL in 0.5 M sodium chloride solution",,,,,,,,,,Toluene with 1 wt% polymer and 0.03 wt% BHT,,,,,,,,,
16.5,squeezing,high-viscosity silicone oils,6.25e-11,,1000.0,0.05,,0.2,0.2,,0.0205,low-viscosity liquid,1.38e-11,,935.0,0.1537,,0.2,0.2,,
19.0,squeezing,50%glycerol/50%water,2.22e-07,,,0.005,0.002,0.4,0.4,,0.06,PEO solution,1.388888888888889e-10,,,0.005,0.002,0.365,0.4,,0.13715
