,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
1,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,1.05E-12,0.042031802,659,0.00032,0.0505,0.005,0.01,0.000115271,0.00026634
2,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
3,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,1.05E-11,0.420370889,659,0.00032,0.0505,0.005,0.01,0.01153,0.002663736
4,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,2.10E-11,0.840650626,659,0.00032,0.0505,0.005,0.01,0.04611,0.005326895
5,dripping,3.52E-07,0.35249,1000,0.001,0.0505,1,8,2.4603802,0.00698,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
6,dripping,6.12E-07,0.611555,1000,0.001,0.0505,1,8,7.40593105,0.01211,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
7,dripping,8.63E-07,0.86254,1000,0.001,0.0505,1,8,14.7321832,0.01708,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
8,dripping,3.52E-07,0.35249,1000,0.001,0.0505,1,8,2.4603802,0.00698,5.25E-12,0.210094278,659,0.00032,0.0505,0.005,0.01,0.00288,0.00133129
9,dripping,6.12E-07,0.611555,1000,0.001,0.0505,1,8,7.40593105,0.01211,5.25E-12,0.210094278,659,0.00032,0.0505,0.005,0.01,0.00288,0.00133129
10,dripping,8.63E-07,0.86254,1000,0.001,0.0505,1,8,14.7321832,0.01708,5.25E-12,0.210094278,659,0.00032,0.0505,0.005,0.01,0.00288,0.00133129
11,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,5.25E-12,0.210094278,659,0.00032,0.0505,0.005,0.01,0.00288,0.00133129
12,dripping,1.55E-06,1.550855,1000,0.001,0.0505,1,8,47.62675705,0.03071,5.25E-12,0.210094278,659,0.00032,0.0505,0.005,0.01,0.00288,0.00133129
13,dripping,3.52E-07,0.35249,1000,0.001,0.0505,1,8,2.4603802,0.00698,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
14,dripping,6.12E-07,0.611555,1000,0.001,0.0505,1,8,7.40593105,0.01211,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
15,dripping,8.63E-07,0.86254,1000,0.001,0.0505,1,8,14.7321832,0.01708,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
16,dripping,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
17,dripping,1.55E-06,1.550855,1000,0.001,0.0505,1,8,47.62675705,0.03071,2.10E-12,0.084063695,659,0.00032,0.0505,0.005,0.01,0.000461085,0.000532681
18,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
19,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,8.41E-11,3.362556925,659,0.00032,0.0505,0.005,0.01,0.73774,0.021307291
20,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
21,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,1.58E-10,6.304773344,659,0.00032,0.0505,0.005,0.01,2.5936,0.039951039
22,jetting,3.52E-07,0.35249,1000,0.001,0.0505,1,8,2.4603802,0.00698,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
23,jetting,6.12E-07,0.611555,1000,0.001,0.0505,1,8,7.40593105,0.01211,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
24,jetting,8.63E-07,0.86254,1000,0.001,0.0505,1,8,14.7321832,0.01708,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
25,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
26,jetting,1.55E-06,1.550855,1000,0.001,0.0505,1,8,47.62675705,0.03071,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
27,jetting,1.69E-06,1.691245,1000,0.001,0.0505,1,8,56.63979505,0.03349,1.05E-10,4.203180204,659,0.00032,0.0505,0.005,0.01,1.15271,0.026634013
28,jetting,8.63E-07,0.86254,1000,0.001,0.0505,1,8,14.7321832,0.01708,5.78E-11,2.310042074,659,0.00032,0.0505,0.005,0.01,0.34818,0.01463789
29,jetting,1.30E-06,1.3029,1000,0.001,0.0505,1,8,33.61482,0.0258,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
30,jetting,1.55E-06,1.550855,1000,0.001,0.0505,1,8,47.62675705,0.03071,5.25E-11,2.101599218,659,0.00032,0.0505,0.005,0.01,0.28818,0.013317064
31,jetting,3.52E-07,0.35249,1000,0.001,0.0505,1,8,2.4603802,0.00698,7.58E-11,3.032449693,659,0.00032,0.0505,0.005,0.01,0.6,0.019215523
32,dripping,1.30E-06,1.302665,1000,0.001,0.0455,1,8,37.29529895,0.02863,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
33,dripping,1.30E-06,1.302665,1000,0.001,0.0455,1,8,37.29529895,0.02863,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
34,dripping,6.12E-07,0.61152,1000,0.001,0.0455,1,8,8.2188288,0.01344,4.19E-11,1.67642044,703,0.00103,0.0455,0.005,0.01,0.21711,0.037949737
35,dripping,8.63E-07,0.86268,1000,0.001,0.0455,1,8,16.3564128,0.01896,4.19E-11,1.67642044,703,0.00103,0.0455,0.005,0.01,0.21711,0.037949737
36,dripping,6.12E-07,0.61152,1000,0.001,0.0455,1,8,8.2188288,0.01344,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
37,dripping,8.63E-07,0.86268,1000,0.001,0.0455,1,8,16.3564128,0.01896,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
38,dripping,1.30E-06,1.302665,1000,0.001,0.0455,1,8,37.29529895,0.02863,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
39,dripping,6.12E-07,0.61152,1000,0.001,0.0455,1,8,8.2188288,0.01344,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
40,dripping,8.63E-07,0.86268,1000,0.001,0.0455,1,8,16.3564128,0.01896,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
41,dripping,1.30E-06,1.302665,1000,0.001,0.0455,1,8,37.29529895,0.02863,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
42,dripping,1.43E-06,1.42688,1000,0.001,0.0455,1,8,44.7469568,0.03136,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
43,dripping,1.55E-06,1.55064,1000,0.001,0.0455,1,8,52.8458112,0.03408,1.05E-11,0.419114762,703,0.00103,0.0455,0.005,0.01,0.01357,0.009487653
44,dripping,1.43E-06,1.42688,1000,0.001,0.0455,1,8,44.7469568,0.03136,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
45,dripping,1.55E-06,1.55064,1000,0.001,0.0455,1,8,52.8458112,0.03408,2.10E-11,0.838229523,703,0.00103,0.0455,0.005,0.01,0.05428,0.018975306
46,jetting,1.43E-06,1.42688,1000,0.001,0.0455,1,8,44.7469568,0.03136,1.05E-10,4.191024074,703,0.00103,0.0455,0.005,0.01,1.35692,0.094873732
47,jetting,1.55E-06,1.55064,1000,0.001,0.0455,1,8,52.8458112,0.03408,1.05E-10,4.191024074,703,0.00103,0.0455,0.005,0.01,1.35692,0.094873732
48,jetting,6.12E-07,0.61152,1000,0.001,0.0455,1,8,8.2188288,0.01344,1.57E-10,6.286546406,703,0.00103,0.0455,0.005,0.01,3.05308,0.142310831
49,jetting,8.63E-07,0.86268,1000,0.001,0.0455,1,8,16.3564128,0.01896,1.57E-10,6.286546406,703,0.00103,0.0455,0.005,0.01,3.05308,0.142310831
