,content,density,viscosity
0,0% glycerol-water solution,1070.0,0.00282
1,0% phosphate acid,1510.0,
2,0.02% cmc,1000.0,0.05
4,0.1% cmc in water,998.0,0.005555
7,0.2 mol/l y2o3 in hydrochloric acid solution,,0.007
8,0.2 xg+t,1000.5,0.0010045
11,0.50% cmc solution,1001.1,0.55
12,1 m dmdbtdma in n-dodecane,1116.12,0.001131
13,"1,6-hexanediol diacrylate",1020.0,0.00671
15,10 cst silicone oil with surfactants (dow corning 749),,350.0
16,10% (v/v) ferrofluid,958.65,0.01
18,100 k peo solution,872.5,0.0155
19,1–10 wt% poly(vinyl alcohol),,0.0172
20,2 wt% poly (vinyl alcohol) aqueous,1000.0,0.00195
21,2% (w/w) solution of span80 in hexadecane,,0.01011
22,2% ultra-low-viscosity alginate,,0.0135345
24,2-propanol,1050.0,
25,2.3% pva,1005.9,0.0028
26,2000 ppm aqueous phenol solution with 30 ppm tween 20,998.0,0.001005
28,35 wt % glycerol–water mixture with 0.3 wt % sds,998.0,0.001002
32,40% glycerol,,0.0057
33,40/60% chloroform/cyclohexane (w/w) + 1% pbut-b-peo (w),970.0,0.00095
34,40/60% chloroform/cyclohexane (w/w) in the presence of 1% pbut-_b_ -peo (w),1.02,0.0018
35,5 wt % chitosan aqueous solution,996.0,0.11238
36,50 cst oil,,0.003
37,50 wt % ethylene glycol/water mixture,1104.0,0.0015955000000000001
38,50 wt% glycerol solution with 1 wt% sds,,0.00692
39,"50% (v/v) ferrofluid, 10% (v/v) ferrofluid",1000.0,0.001
40,50% glycerol + 0.3% sds,1000.0,0.04
41,50% glycerol aqueous solution,1128.0,0.005
42,50% glycerol solution,,0.1087
43,50%glycerol/50%water,,0.005
44,50/50 (v/v) acetonitrile and water mixture,856.0,8.645000000000001e-10
46,60wt% glycerol + 40wt% distilled water,1000.0,0.001
47,67 µs/cm xanthan gum solution,,0.16675
48,70 wt% glycerol and 30 wt% distilled water,1183.0,0.01907
49,75% glycerol solution,,0.00815
52,[bmim][pf6] ionic liquid,1366.8,0.25176
53,acrylamide aqueous solution,,0.00125
56,air,877.5,0.0055
57,alginate,1300.0,0.0053950000000000005
58,alginate solution,1050.0,0.1265
61,ammonium ceric nitrate,300.0,
62,aqueous,993.5,0.0044738
64,aqueous glycerin solution,1162.0,0.01058
65,aqueous glycerol solutions,,0.5275
66,aqueous phase,844.6,0.001475
67,aqueous phase with 5 different surfactants,920.0,0.0046
68,aqueous solution of phenol,723.1,0.0019
70,aqueous with biological cells,850.0,0.02
71,blue fluid,1000.0,0.084325
72,blue phase fluid,1.0,8e-05
73,bsa solution,1052.0,0.00143
76,carbopol gel,908.7275,0.0014302
79,castor oil,935.0,0.4335
81,chitosan,850.0,0.00648
83,chitosan solutions,,3.12275
84,co2,517.0,4.7e-05
85,co2 saturated [emim][bf4],1425.0,0.0155
86,"co2-mt, co2-ea, co2-npa",997.0,0.000945
88,crystallization solution,1013.0,0.00028
91,dbd,938.0,0.0084
92,dbd with different concentrations of span 80,,0.2042525
