"['1.70×10−3', '1.1 · 10−4']    ","['0.0017', '0.00011']    "
1.70×10−3                      ,0.0017                   
1.1 · 10−4                     ,0.00011                  
Ca_TP=9.0                      ,9.0                      
Ca_c =7.0                      ,7.0                      
Ca_d= 2.28                     ,2.28                     
"['0.03-0.2', '0.001 < _Ca_ TP < 0.05'] ","['0.115', '0.0255'] "
0.025 to 3                     ,1.5125                   
Ca > 0.001                     ,0.001                    
≥0.01                          ,0.01                     
Ca < 0.001                     ,0.0005                   
≤0.01                          ,0.005                    
"['0.003', '0.023']             ","['0.003', '0.023']       "
'lower than 0.012'  ,0.006                      
"['0.0012', '0.0052']","[0.0012, 0.0052]           "
'8.84 × 10−4'       ,0.000884                   
'8.84 × 10−4'       ,0.000884                   
'below 0.01'        ,0.005                      
'< 0.01'            ,0.005                      
'5'                 ,5                          
'CaC'          ,'N/A'                       
'0.01'         ,0.01                        
'increases'    ,'N/A'                       
'CaC'          ,'N/A'                       
high                ,N/A                        
high                ,N/A                        
higher value        ,N/A                         
Yamamoto and Ogata 2013 ,N/A 
Wehking et al. 2014 ,N/A 
Ca ,N/A 
'10−4 to 10−2' ,0.00055 
'ηνγ −1' ,'N/A' 
'Calculated formula: Ca = ηvγ−1' ,'N/A' 
"['0.05', '0.3'] ","[0.05, 0.3] "
Oh                  ,N/A                        
Ca                  ,N/A                        
_Ca_                ,N/A                        
Ca = μc * U / σ     ,N/A                        
0.096               ,0.096                      
relatively small    ,N/A                        
0.032               ,0.032                      
0.048               ,0.048                      
high                ,N/A                        
0.096               ,0.096                      
small               ,N/A                        
'-' ,'N/A' 
'lower' ,'N/A' 
'0.01 to 1.32' ,0.665 
"['0.01', '0.1', '0.5', '0.1 to 0.7'] ","[0.01, 0.1, 0.5, 0.4] "
"['0.01', '1.32'] ","[0.01, 1.32] "
'higher' ,'N/A' 
"['0.05', '0.3'] ","[0.05, 0.3] "
Oh                  ,N/A                        
Cac                 ,N/A                        
increased           ,N/A                        
not changing        ,N/A                         
high                ,N/A                         
"capillary number determined the location of droplet breakup, compared against a critical value ",N/A 
'Ca'                ,'N/A'                      
'Ca = 0.048'        ,0.048                      
'Ca = 0.006'        ,0.006                       
"['0.008', '0.025'] ","['0.008', '0.025']          "
'0.01'           ,'0.01'                        
'0.01'            ,'0.01'                        
'0.01'            ,'0.01'                        
"['0.014', '0.018'] ","['0.014', '0.018']           "
'0.014'           ,'0.014'                       
'0.018'           ,'0.018'                       
'0.018'           ,'0.018'                       
'0.022'           ,'0.022'                       
'0.025'           ,'0.025'                       
'0.025'           ,'0.025'                       
'0.025'           ,'0.025'                       
"['0.01', '0.025'] ","['0.01', '0.025']            "
'<0.01' ,0.005 
'0.01' ,0.01 
uμc/γ               ,N/A                        
Ca                  ,N/A                        
'0.00417'           ,0.00417                    
'0.00417'           ,0.00417                    
'0.00417'           ,0.00417                    
'0.00417'           ,0.00417                    
'0.000695'          ,0.000695                   
'0.00417'           ,0.00417                    
'low values'        ,'N/A'                      
'0.00417'           ,0.00417                    
'0.01'              ,0.01                       
'small'             ,'N/A'                      
"['0.001', '0.01']   ","[0.001, 0.01]              "
0.00417             ,0.00417                    
0.02 to 0.91        ,0.465                      
Ca=μcδ′/σ           ,N/A                        
"['O(10−2)', 'O(10−1)', '0.4'] ","[0.01, 0.1, 0.4] "
Ca                  ,N/A                        
critical            ,N/A                        
_Ca_                ,N/A                        
Cac                 ,N/A                        
critical capillary number for coalescence ,N/A 
decreases ,N/A 
_Ca_ ,N/A 
Cac=0.004η-0.518 ,N/A 
"['0.002', '0.3']    ","[0.002, 0.3]               "
'high'              ,'N/A'                      
'0.57'              ,0.57                       
'capillary number _Ca_' ,'N/A'                  
'0.05'              ,0.05                       
