750 μm         ,0.75                  
70 μm          ,0.07                            
40 μm          ,0.04                  
H              ,N/A                   
50 μm          ,0.05                  
50 μm          ,0.05                  
0.721 mm            ,0.721                      
420 μm              ,0.42                       
420 μm              ,0.42                       
721 μm              ,0.721                      
400 μm         ,0.4                  
400 μm         ,0.4                  
75 μm               ,0.075                      
H                   ,N/A                        
"['400 μm', '70 μm'] ","[0.4, 0.07] "
'30 μm' ,0.03 
"['large cross section', 'reduced directly before the step'] ",N/A 
70 μm high constriction ,0.07 
0.3 mm         ,0.3                  
0.31 mm        ,0.31                 
0.3 mm              ,0.3                        
90 μm ,0.09 
h ,N/A 
800 μm ,0.8 
800 μm ,0.8 
100 μm         ,0.1                  
100 μm              ,0.1                        
100 μm              ,0.1                        
100 μm              ,0.1                        
750 μm              ,0.75                       
'365.0 μm'          ,0.365                      
'365 μm'            ,0.365                      
'365.0 μm'          ,0.365                      
'50.0 μm'           ,0.05                       
'750.0 μm'          ,0.75                       
100 μm              ,0.1                        
365 μm              ,0.365                     
365 μm              ,0.365                     
365 μm              ,0.365                     
365 μm              ,0.365                     
750 μm ,0.75 
reduced size        ,N/A                        
DH                  ,N/A                        
100 μm              ,0.1                       
10 μm          ,0.01                 
10 μm          ,0.01                 
200 μm         ,0.2                  
400 μm         ,0.4                   
400 μm         ,0.4                   
hc = 100 μm    ,0.1                   
hd = 100 μm         ,0.1                        
100 μm ,0.1 
100 μm ,0.1 
400 μm              ,0.4                        
400 μm              ,0.4                        
400 μm              ,0.4                       
400 μm              ,0.4                       
δ'                  ,N/A                       
400 μm              ,0.4                       
400 μm              ,0.4                       
'400 µm'            ,0.4                       
'100 µm'            ,0.1                       
'400 μm'            ,0.4                        
400 μm        ,0.4                       
365 μm             ,0.365                      
365 μm             ,0.365                      
200 μm              ,0.2                       
200 μm              ,0.2                       
200μm               ,0.2                       
100 µm              ,0.1                       
200 μm              ,0.2                       
40 μm          ,0.04                 
40 μm          ,0.04                 
40 μm               ,0.04                       
400 μm              ,0.4                       
400 μm              ,0.4                       
large _h_           ,N/A                        
6 mm                ,6                          
'reduced _h_'       ,'N/A'                     
'h'                 ,'N/A'                     
80 µm               ,0.08                       
80 µm               ,0.08                       
l                   ,N/A                        
1 mm ,1 
1 mm ,1 
'1 mm' ,1 
300 μm         ,0.3                  
300 μm              ,0.3                        
"['139μm', '142μm', '221μm', '225μm', '215μm', '228μm', '221μm', '233μm', '227μm', '228μm', '285μm', '279μm', '280μm'] ","[0.139, 0.142, 0.221, 0.225, 0.215, 0.228, 0.221, 0.233, 0.227, 0.228, 0.285, 0.279, 0.280] "
h ,N/A 
50 ,0.05 
h              ,N/A                        
50             ,0.05                       
400 μm              ,0.4                        
400 μm              ,0.4                        
"['0.4', '0.8', '1.2'] ","['0.4', '0.8', '1.2'] "
2 mm          ,2                         
'300 μm'            ,0.3                       
'50 µm'             ,0.05                      
'76 μm'             ,0.076                     
'73.5 μm'           ,0.0735                    
76 μm               ,0.076                     
50 μm          ,0.05                  
150 μm                 ,0.15                  
h                       ,N/A                   
"['100 μm', '150 μm']    ","[0.1, 0.15]           "
33 μm                  ,0.033                 
"['100 μm', '150 μm'] ","[0.1, 0.15] "
33 μm ,0.033 
1 mm           ,1                    
500 μm              ,0.5                        
"['1.0', '1.5', '2.0', '1.0', '1.0'] ","['1.0', '1.5', '2.0', '1.0', '1.0'] "
"['500 μm', '430 μm'] ","[0.5, 0.43]                  "
'100 μm'       ,0.1                             
0.31 mm        ,0.31                  
1.8 mm         ,1.8                   
1.8 mm         ,1.8                   
h             ,N/A                        
28 µm         ,0.028                      
500 μm         ,0.5                  
h              ,N/A                  
provided as diameter of the microchannel ,N/A 
750 μm        ,0.75                      
750 μm        ,0.75                      
100 µm        ,0.1                       
100 µm        ,0.1                       
50 µm         ,0.05                      
50 µm         ,0.05                      
100 µm        ,0.1                       
100 µm        ,0.1                       
300 um        ,0.3                       
'100 µm' ,0.1 
"['100 µm', '50 µm'] ","[0.1, 0.05] "
'50 µm' ,0.05 
'100 µm' ,0.1 
'50 μm'             ,0.05                            
'50 μm'             ,0.05                            
