750 μm ,0.75 
W                 ,N/A                  
30 μm             ,0.03                 
"['90 μm', '45 μm'] ","[0.09, 0.045]            "
100-μm            ,0.1                  
100 μm            ,0.1                  
1.5 mm         ,1.5                  
510 μm         ,0.51                 
510 μm         ,0.51                 
1 mm           ,1                    
600 μm ,0.6 
400 μm ,0.4 
400 μm ,0.4 
365 μm ,0.365 
W              ,N/A                  
0.4 mm              ,0.4                             
21 mm               ,21                              
0.2 mm              ,0.2                             
'w' ,'N/A' 
'800 μm' ,0.8 
'800 μm' ,0.8 
'800 μm' ,0.8 
'100 μm' ,0.1 
100 μm         ,0.1                  
100 μm              ,0.1                             
200 μm              ,0.2                             
100 μm         ,0.1                   
"['75 μm', '40 μm'] ","[0.075, 0.04] "
20 μm               ,0.02                            
large size          ,N/A                             
750 μm              ,0.75                            
95 μm               ,0.095                           
108 μm              ,0.108                           
dj ,N/A 
365.0 μm       ,0.365                 
365.0 μm       ,0.365                 
365 μm         ,0.365                 
750.0 μm       ,0.75                  
decreasing ,N/A 
capillaries with different inner diameters ,N/A 
400.0 μm ,0.4 
50.0 μm ,0.05 
"['365.0 μm', '250.0 μm', '100.0 μm', '50.0 μm'] ","[0.365, 0.25, 0.1, 0.05] "
50.0 μm ,0.05 
"['365.0 μm', '250.0 μm', '50.0 μm'] ","[0.365, 0.25, 0.05] "
"['250.0 μm', '100.0 μm', '50.0 μm'] ","[0.25, 0.1, 0.05] "
550.0 μm ,0.55 
from 365.0 μm to 50.0 μm ,N/A 
200 μm        ,0.2                  
200 μm        ,0.2                  
400 μm ,0.4 
200 μm ,0.2 
200 μm ,0.2 
400 μm ,0.4 
"['200 μm', '400 μm'] ","[0.2, 0.4] "
tens of microns     ,N/A                            
75 μm (inner diameter) ,0.075                        
large size          ,N/A                             
750 μm              ,0.75                            
95 μm               ,0.095                           
108 μm              ,0.108                           
dj ,N/A 
reduced size        ,N/A                             
200 μm              ,0.2                             
user-defined   ,N/A                  
10 μm          ,0.01                 
10 μm          ,0.01                 
100 μm         ,0.1                  
"['20 μm', '190 μm', '68 μm', '306 μm'] ","[0.02, 0.19, 0.068, 0.306] "
400 μm              ,0.4                             
400 μm              ,0.4                             
wc = 200 μm        ,0.2                             
'wd = 100 μm'       ,0.1                             
200 μm    ,0.2            
0.8 mm    ,0.8            
100 μm ,0.1 
400 μm ,0.4 
wc ,N/A 
"['400', '600', '400', '300/500', '300/500'] ","[0.4, 0.6, 0.4, [0.3, 0.5], [0.3, 0.5]] "
400 μm        ,0.4                  
"['400 µm', '750 µm'] ","[0.4, 0.75] "
"['400 µm', '500 µm', '750 µm', '1000 µm'] ","[0.4, 0.5, 0.75, 1] "
"['400 µm', '500 µm', '750 µm', '1000 µm'] ","[0.4, 0.5, 0.75, 1.0] "
"['radius of 400 µm', 'radius of 500 µm', 'radius of 750 µm'] ","[0.4, 0.5, 0.75] "
"['400 µm', '500 µm', '750 µm', '1000 µm'] ","[0.4, 0.5, 0.75, 1.0] "
uniform       ,N/A                  
300 μm        ,0.3                  
fixed size    ,N/A                  
w_1           ,N/A                  
variable            ,N/A                             
"w_0/w_1 = 6/5, 2, 3 ",N/A                             
400 μm        ,0.4                  
400 μm        ,0.4                  
wc            ,N/A                  
wc            ,N/A                  
wc            ,N/A                  
400 μm              ,0.4                             
400 μm        ,0.4                  
Wc            ,N/A                  
Wc            ,N/A                  
400 µm              ,0.4                             
confinement of the microchannel ,N/A                 
200 µm              ,0.2                             
100 µm              ,0.1                             
"['50 μm', '150 μm', '20 μm', '40 μm'] ","[0.05, 0.15, 0.02, 0.04] "
'70 to 80 μm'       ,"[0.07, 0.08]                   "
400 μm              ,0.4                            
400 μm              ,0.4                             
330 μm              ,0.33                            
"['_w_ m/ _w_ c < 0.1 or 0.15', '_w_ m/ _w_ c'] ","['N/A', 'N/A'] "
400 μm         ,0.4                  
400 μm         ,0.4                  
60 μm (after narrowing) ,0.06                            
200 μm        ,0.2                  
200 μm        ,0.2                  
200μm         ,0.2                  
200 µm        ,0.2                  
200 μm ,0.2 
120 μm         ,0.12                 
"['narrower than the channel', 'almost equals to that of the channel'] ","['N/A', 'N/A'] "
"['narrower than the channel', 'almost equals to that of the channel'] ","['N/A', 'N/A'] "
400 μm        ,0.4                  
400 μm        ,0.4                  
Wc            ,N/A                  
