1880 kg m−3    ,1880                          
'103 kg m−3'   ,103                           
'840 kg m−3' ,840 
'1000 kg m−3'  ,1000                          
'ρ a' ,'N/A' 
'ρ o'          ,'N/A'                         
'1.050 g/cm^3' ,1050 
"['1.02 g cm−3', '0.934 g cm−3', '1.83 g cm−3'] ","[1020, 934, 1830] "
'ρc' ,'N/A' 
'higher' ,'N/A' 
'ρd' ,'N/A' 
'ρd' ,'N/A' 
'kg/m3' ,'N/A' 
"['998 kg/m3', '1070 kg/m3', '1124 kg/m3'] ","[998, 1070, 1124] "
'ρ=αwρw+(1−αw)ρo'   ,'N/A'                        
'listed in Table 1' ,'N/A'                        
'kg·m−3'            ,'N/A'                        
'696 kg·m−3'        ,696                          
'kg·m−3'            ,'N/A'                        
'998 kg·m−3'        ,998                          
'ρc' ,'N/A' 
'higher' ,'N/A' 
'ρd' ,'N/A' 
'ρd' ,'N/A' 
1006.2         ,1006.2                     
'ρd'           ,'N/A'                         
'ρM'           ,'N/A'                         
'723.1'        ,723.1                         
'998 kg/m3' ,998 
'1.080 g mL−1' ,1080 
'850 kg/m3' ,850 
'838 kg.m−3'        ,838                          
'ρc = 965 kg/m³'    ,965                          
"'1,100 kg m−3' ",1100                          
822.5          ,822.5                        
"['996.3', '996.8', '997', '997.2', '997.7'] ","[996.3, 996.8, 997, 997.2, 997.7] "
'997 kg/m3'    ,997                          
'reference'    ,'N/A'                        
'917 kg/m3'                 ,917                 
'different from reference'  ,'N/A'               
'Volume-fraction-averaged based on gas (ρg) and liquid (ρl) phases' ,'N/A' 
'1.21 kg/m3'        ,1.21                         
'998.2 kg/m3'       ,998.2                        
'876 kg m−3' ,876 
'ρc' ,'N/A' 
'ρc' ,'N/A' 
'1100 kg m−3' ,1100 
'ρd' ,'N/A' 
'kg·m−3'            ,'N/A'                        
'1366.80'           ,1366.80                      
'kg·m−3' ,'N/A' 
"'measured using a vibrating tuber density meter (Anton Paar DMA-4500-M, Austria)' ",'N/A' 
'998 kg/m3'         ,998                          
'1300 kg/m3' ,1300 
'ρ' ,'N/A' 
'ρw' ,'N/A' 
1000 kg/m³          ,1000                         
"['920 kg/m³', '950 kg/m³'] ","[920, 950] "
'low' ,'N/A' 
"'Measured using a vibrating tuber density meter (Anton Paar DMA-4500-M, Austria)' ",'N/A' 
'volume-averaged values' ,'N/A' 
'low'               ,'N/A'                        
'ρc'                ,'N/A'                        
'volume-averaged values' ,'N/A'                  
'lower'             ,'N/A'                        
'lower than droplets' ,'N/A'                      
'adjusted by adding dioctyl sebacate (DOS) with different volume fractions' ,'N/A' 
'<0.005 g/cm3 difference with dispersed phase' ,'N/A' 
matching among three phases is a vital parameter                                                     ,N/A                       
controlled by replacing the inner water with anhydrous calcium chloride (CaCl2) solutions with...    ,N/A                       
<0.003 g/cm3 difference with continuous phase                                                        ,N/A                       
"['<0.003 g/cm3', '<0.005 g/cm3']                                                                     ","['3', '5']                "
difference high between S and W phases                     ,N/A                       
698 ,698 
'995.6' ,995.6 
'ρliq' ,'N/A' 
'1' ,1 
'similar to heptane' ,'N/A' 
ρgas               ,N/A                        
similar to water   ,N/A                        
'ρ' ,'N/A' 
'998 kg/m3' ,998 
"['2.5 °C', '24.5 °C'] ",'N/A' 
'800 kg/m3' ,800 
998            ,998                           
"['950', '960', '970'] ","['950000', '960000', '970000'] "
'ρc' ,'N/A' 
'1000.09' ,1000.09 
'higher density' ,'N/A' 
'ρd' ,'N/A' 
'1366.80' ,1366.80 
'ρc'          ,'N/A'                        
'997.1'       ,997.1                        
'ρd' ,'N/A' 
'1366.80' ,1366.80 
'1.225 kg/m3' ,1.225 
'1000 kg/m3' ,1000 
'ρ_G' ,'N/A' 
'ρ1' ,'N/A' 
'ρ2' ,'N/A' 
1880 kg/m3       ,1880                      
1150 kg/m^3      ,1150                      
'998.2 kg/m3' ,998.2 
938            ,938                       
1430           ,1430                       
provided       ,N/A                         
'ρc' ,'N/A' 
'ρc' ,'N/A' 
'ρc' ,'N/A' 
'850 kg/m3' ,850 
'ρd' ,'N/A' 
'ρd' ,'N/A' 
'ρd' ,'N/A' 
'1000 kg/m3' ,1000 
850 kg/m³                 ,850                        
1000 kg/m3                ,1000                       
1000 kg/m3                ,1000                       
999 kg/m³                 ,999                        
"['998 kg/m^3', '1260 kg/m^3'] ","[998, 1260]              "
'1000 kg/m³' ,1000 
'800 kg/m3' ,800 
'1260 kg/m3' ,1260 
'800 kg/m³' ,800 
'970 kg/m^3' ,970 
'1000 kg/m3' ,1000 
'2ρ' ,'N/A' 
'ρ' ,'N/A' 
893 kg/m3      ,893                        
'very low'          ,'N/A'                        
'1.3 kg/m3'         ,1.3                          
1.42×103kgm−3       ,1420              
'approximately equal' ,'N/A' 
'ρ_l' ,'N/A' 
'ρg' ,'N/A' 
'ρd' ,'N/A' 
'ρ' ,'N/A' 
"['999.9 kg·m−3', '1001.1 kg·m−3', '1002.1 kg·m−3'] ","[999.9, 1001.1, 1002.1] "
'kg·m−3'            ,1                            
"'measured by vibrating tube density meter (Anton Paar DMA-4500-M, Austria)' ",'N/A' 
'826 kg·m−3'        ,826                          
'kg·m−3'            ,'N/A'                        
1614 kg/m3      ,1614                       
'ρ'            ,'N/A'                        
0.969 g cm−3        ,969                        
'1.183 g cm−3'      ,1183.0                       
ρ from Equation [3]   ,N/A               
ρc                  ,N/A                      
1001.5              ,1001.5                   
varies with pressure (0.1–15.0 MPa) ,N/A 
1400 to 1450 kg/m3 ,"[1400, 1450] "
'220 to 814 kg/m3'  ,"[220, 814]                   "
'high under pressure' ,'N/A'                      
'larger density difference compared to H2O/n-hexane' ,'N/A' 
'ρ1' ,'N/A' 
'1000 kg/m3' ,1000 
'1000 kg/m3' ,1000 
'ρ2' ,'N/A' 
'1020 kg/m3' ,1020 
'1020 kg/m3' ,1020 
827 kg/m3 ,827 
'0.855 gw/cm3' ,'N/A' 
ρ              ,N/A                        
'902 kg/m^3'   ,902                       
ρ              ,N/A               
'ρ' ,'N/A' 
'1000 kg/m3'        ,1000                         
800 kg/m3      ,800                        
'ρL' ,'N/A' 
xρg+(1−x)ρl ,N/A 
"['1000', '1060', '1130'] ","[1000000, 1060000, 1130000] "
ρ_c = 1000 kg/m3         ,1000                       
