"['100 μL min−1', '5000 μL min−1'] ","[{'q': 1.6666666666666667e-09}, {'q': 8.333333333333333e-08}] "
high ,'N/A' 
"['1 μL min−1', '20 μL min−1'] ","[{'q': 1.6666666666666667e-11}, {'q': 3.333333333333333e-10}] "
low                 ,'N/A'            
constant ,N/A 
"['0.04 ml h−1', '0.16 ml h−1'] ","[{'q': 1.1111111111111112e-11}, {'q': 4.4444444444444446e-11}] "
"['0.04 ml h−1', '0.08 ml h−1', '0.16 ml h−1'] ","[{'q': 1.1111111111111112e-11}, {'q': 2.2222222222222222e-11}, {'q': 4.4444444444444446e-11}] "
0.02 ml h−1         ,{'q': 5.56e-09}  
270 μL min−1 ,{'q': 0.0000045} 
667 μL over 9 min ,{'q': 0.000001239} 
"['10 to 200 μL min−1', '142.3 ± 2.5 μL min−1'] ","[{'q': 0.00000175}, {'q': 0.000002372}] "
['2 mL']       ,'N/A'            
'Q = (Pm - Po)/(Rm + Ro)' ,'N/A' 
'250 μL/min' ,{'q': 4.166666666666667e-09} 
'250 μL/min' ,{'q': 4.166666666666667e-09} 
"['250 μL/min', '500 μL/min', '750 μL/min'] ","[{'q': 4.166666666666667e-09}, {'q': 8.333333333333333e-09}, {'q': 1.25e-08}] "
125 μL/min          ,{'q': 2.0833333333333333e-09} 
125 μL/min          ,{'q': 2.0833333333333333e-09} 
700 μL min−1        ,{'q': 0.00001167}
100 μL min−1        ,{'q': 0.00000167}
400 μL min−1        ,{'q': 6.67e-9}   
25 μL min−1         ,{'q': 4.17e-10}  
QC                  ,N/A              
Q C                 ,N/A              
QD                  ,N/A              
QD/QC               ,N/A              
Q D                 ,N/A              
'0.25 mL h−1' ,{'q': 6.94e-11} 
"['3 mL h−1', '8 mL h−1', '2 mL h−1', '12 mL h−1'] ","[{'q': 8.33e-10}, {'q': 2.22e-9}, {'q': 5.56e-10}, {'q': 3.33e-9}] "
"['1 mL h−1', '2 mL h−1', '3 mL h−1', '10 mL h−1'] ","[{'q': 2.78e-10}, {'q': 5.56e-10}, {'q': 8.33e-10}, {'q': 2.78e-9}] "
'0.9 mL h−1' ,{'q': 2.5e-10} 
