'48.3 ± 1 mN m−1'   ,0.0483 ± 0.001               
'1.5 × 10−14 Nm2'   ,'N/A'                        
'38 mN m−1'         ,0.038                        
γ                   ,N/A                                
water–oil interfacial tension ,N/A                    
22 mN/m                          ,0.022                        
increase in surface tension     ,N/A                          
'40 mN m−1'         ,0.04                         
very low       ,N/A                          
decreases with increasing surfactant concentration ,N/A 
lower                ,N/A                                
γ              ,N/A                               
γ                  ,N/A              
8.1 mN m−1         ,0.0081           
15.0 mN m−1        ,0.015            
1.1 mN m-1         ,0.0011           
"['11.7 mN m−1', '4.5 mN m−1', '2.2 mN m−1', '5.3 mN m−1'] ","[0.0117, 0.0045, 0.0022, 0.0053] "
'20.1 mN m−1'       ,0.0201                             
'33.5 mN m−1'       ,0.0335                             
"['γ12', 'γ23']      ",'N/A'                              
"['17.1 mN m−1', '1.1 mN m−1', '8.2 mN m−1'] ","[0.0171, 0.0011, 0.0082] "
'22.6 mN/m'        ,0.0226                            
"['22.6 mN/m', '4.7 mN/m'] ","[0.0226, 0.0047]          "
'γ'                 ,'N/A'                              
"['27.87 mN/m', '30.56 mN/m', '31.18 mN/m'] ","[0.02787, 0.03056, 0.03118] "
'σ'                 ,'N/A'                              
"[0.03, '0.010–0.128', '0.010–0.050'] ","[0.00003, '0.000010–0.000128', '0.000010–0.000050'] "
29.53 mN·m−1       ,0.02953               
mN·m−1              ,0.001                        
22.6 mN/m                    ,0.0226                           
"['22.6 mN/m', '4.7 mN/m']    ","[0.0226, 0.0047]                 "
γ                   ,N/A                          
'γ'            ,'N/A'                              
'14.93'        ,0.01493                            
'tuned'             ,'N/A'                              
'γ'                 ,'N/A'                              
'1.5 ± 0.1 mN m−1'  ,'0.0015 ± 0.0001'            
'σ = 5.8 mN/m'      ,'0.0058'                     
'σ = 5.8 mN/m'      ,0.0058                       
'3.65 mN/m'         ,0.00365                     
γ                   ,N/A                                
γ                   ,N/A                                
"['7.55', '4.15–8.02', '11.69', '13.88–16.24', '13.88–16.24'] ","[0.00755, '0.00415–0.00802', 0.01169, '0.01388–0.01624', '0.01388–0.01624'] "
almost unchanged    ,N/A                                
"['7.82', '7.646', '7.507', '7.408', '6.938'] ","[0.00782, 0.007646, 0.007507, 0.007408, 0.006938] "
'1.5 × 10−3 N m−1'  ,0.0015                       
'σ'                 ,'N/A'                        
'1.5 mN/m'          ,0.0015                       
'σ'                 ,'N/A'                        
'σ'                 ,'N/A'                        
measured using a tensiometer                ,N/A                          
0.03 N/m                                    ,0.03                         
less curved         ,N/A                          
8.9 mN/m            ,0.0089                       
"['43 mN/m', '47 mN/m'] ","[0.043, 0.047]"
"[43.4, 44.6, 46.2, 47.4] ","[0.0434, 0.0446, 0.0462, 0.0474] "
'σ'                 ,'N/A'                        
'2.2 mN·m−1 and 1.8 mN·m−1' ,"[0.0022, 0.0018] "
2.2 mN·m−1 and 1.8 mN·m−1 ,"[0.0022, 0.0018] "
affected by surface tension ,N/A                  
'high'              ,'N/A'                        
'4 mN m−1'          ,0.004                        
"Measured using a tensiometer, by the pendant drop technique on a Tracker apparatus ",N/A 
72 dyn/cm ,0.072 
