0.1147 Pa s    ,0.1147                      
10−3 Pa s      ,0.001                       
30 mPa s       ,0.03                      
various        ,N/A                       
1.04 mPa s     ,0.00104                   
0.019 mPa s    ,0.000019                  
40 mPa s       ,0.04                      
μ a            ,N/A                         
"['8 × 10−1 Pa·s', '2 × 10−4 Pa·s'] ","[0.8, 0.0002] "
"['7.72 × 10−3 Pa·s', '9.09 × 10−3 Pa·s'] ","[0.00772, 0.00909] "
1.20 Pa·s ,1.20 
'μ' ,'N/A' 
'ν' ,'N/A' 
"['1.0 mPa s', '1.95 mPa s'] ","[0.001, 0.00195] "
η ,N/A 
'1.0 mPa s' ,0.001 
'1.95 mPa s' ,0.00195 
"['6.35 mPa s', '9.34 mPa s', '1.5 mPa s'] ","[0.00635, 0.00934, 0.0015] "
"['ηm', 'ηp'] ",N/A 
low ,N/A 
6.92 mPa s     ,0.00692                     
lower          ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
"['0.0173 mPa s', '0.37 mPa s'] ","[1.73e-05, 0.00037] "
'μd' ,'N/A' 
'μd' ,'N/A' 
'μd' ,'N/A' 
'μd' ,'N/A' 
"['0.90 mPa·s', '2.82 mPa·s', '5.98 mPa·s'] ","[0.0009, 0.00282, 0.00598] "
2.82 mPa·s ,0.00282 
2.82 mPa·s ,0.00282 
2.82 mPa·s ,0.00282 
"liquid, mPa·s       ",N/A                   
Investigated        ,N/A                          
μ=αwμw+(1−αw)μo     ,N/A                          
listed in Table 1   ,N/A                          
μc                  ,N/A                          
sufficiently strong ,N/A                          
"[0.01, 0.048, 0.1]  ","[0.00001, 0.000048, 0.0001]  "
"[0.01, 0.0208, 0.1] ","[0.00001, 0.0000208, 0.0001] "
μd ,N/A 
mPa·s               ,N/A                   
142.20 mPa·s        ,0.1422                
mPa·s               ,N/A                   
0.89 mPa·s          ,0.00089               
6.92 mPa s     ,0.00692                     
lower          ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
"['0.0173 mPa s', '0.37 mPa s'] ","[0.0000173, 0.00037] "
μd             ,N/A                       
μd             ,N/A                       
μd             ,N/A                       
μd             ,N/A                       
μc             ,N/A                         
low            ,N/A                         
1.02           ,0.00102                     
μM             ,N/A                       
1.90           ,0.0019                    
varied              ,N/A                   
1.002 mPa.s ,0.001002 
20 mPa.s ,0.02 
η              ,N/A                         
35.2 ± 0.2 mPa s    ,0.0352                
μc = 50 mPa.s       ,0.05                  
2 mPa s             ,0.002                 
μd = 6 mPa.s        ,0.006                 
23.8 mPa s          ,0.0238                
1 mPa s ,0.001 
μc             ,N/A                        
10 mPa·s       ,0.01                       
μc             ,N/A                        
high           ,N/A                        
6.65           ,6.65                       
"['6.65', '3.13–10.74', '251.76', '10–30', '10–30'] ","['6.65', '6.935', '251.76', '20', '20'] "
10–251.76 mPa·s     ,0.13088                      
μd                  ,N/A                          
almost unchanged    ,N/A                          
"['0.7884', '0.8126', '0.8340', '0.8478', '0.8557'] ","['0.0007884', '0.0008126', '0.000834', '0.0008478', '0.0008557'] "
"['0.85', '0.85–0.92', '0.88–2.10', '1', '1'] ","['0.00085', '0.000885', '0.00149', '0.001', '0.001'] "
varied              ,N/A                   
8.90 × 10−4 Pa·s    ,0.00089               
7.97 × 10−2 Pa·s    ,0.0797                
"['more viscous', 'less viscous'] ","['N/A', 'N/A'] "
Volume-fraction-averaged based on gas (μg) and liquid (μl) phases ,N/A 
1.81x10^-5 Pa s ,1.81e-05 
1.01x10^-3 Pa s     ,0.00101               
moderate            ,N/A                   
3.6 × 10−2 Pa s          ,0.036               
μc                       ,N/A                 
μ_c                      ,N/A                 
μc                       ,N/A                 
μc                       ,N/A                 
2 × 10−3 Pa s       ,0.002                 
μd                  ,N/A                   
Pa·s−1 ,N/A 
μc ,N/A 
μc ,N/A 
251.76 ,0.25176 
"viscosity of dispersed phase,Pa·s−1 ",N/A 
"['viscosity of dispersed phase', 'effects of the viscosity of dispersed phase on critical capillary number'] ","[N/A, N/A] "
μd                  ,N/A                          
increases           ,N/A                          
decreases with increase of viscosity ,N/A 
increases           ,N/A                          
μd                  ,N/A                          
increases with the viscosity of the dispersed phase ,N/A 
provided ,N/A 
characterized by an Ubbelohde capillary viscometer ,N/A 
μ ,N/A 
provided ,N/A 
increased ,N/A 
varied ,N/A 
increases ,N/A 
varying ,N/A 
viscosity of the continuous phase ,N/A 
viscosity ,N/A 
significant impact compared to velocity ,N/A 
increases ,N/A 
viscosity of the continuous phase ,N/A 
1.002 mPa·s ,0.001002 
'Varied' ,'N/A' 
"['1.5 mPa s', '19 mPa s'] ","[0.0015, 0.019] "
"['1.5 mPa s', '3 mPa s', '7 mPa s'] ","[0.0015, 0.003, 0.007] "
"['1.5 mPa s', '7 mPa s'] ","[0.0015, 0.007] "
'19.2 mPa s' ,0.0192 
'19.2 mPa s' ,0.0192 
'from 1.5 to 7 mPa s' ,0.00425 
"['1.5 mPa s', '3 mPa s', '7 mPa s'] ","[0.0015, 0.003, 0.007] "
"[1.5, 3.0, 7.0, 19.2] ","[0.0015, 0.003, 0.007, 0.0192] "
"[1.5, 3, 7] ","[0.0015, 0.003, 0.007] "
'varies' ,'N/A' 
'solvent viscosity' ,'N/A' 
'μ' ,'N/A' 
'μ' ,'N/A' 
'5 mPa·s' ,0.005 
'5 mPa·s' ,0.005 
'increases' ,'N/A' 
intrinsic viscosity ,N/A                          
high viscosity      ,N/A                          
various viscosities ,N/A                          
"['low viscosity', 'viscoelastic'] ","[N/A, N/A] "
similar shear viscosity to Newtonian ,N/A      
solvent viscosity   ,N/A                          
high-viscosity      ,N/A                          
5 mPa·s             ,0.005                        
increases           ,N/A                          
similar shear viscosity ,N/A                    
high ,N/A 
low                 ,N/A                           
high                ,N/A                           
50–200 mPa s        ,0.125                         
50 mPa s            ,0.05                          
50 mPa s            ,0.05                          
50 mPa s            ,0.05                          
increases           ,N/A                           
50 mPa·s            ,0.05                          
increases           ,N/A                           
['50 mPa·s']        ,[0.05]                        
50 mPa·s            ,0.05                          
50 mPa·s            ,0.05                          
increases           ,N/A                           
increases           ,N/A                           
50 mPa·s            ,0.05                          
μc                  ,N/A                           
cannot be ignored   ,N/A                           
high                ,N/A                           
high                ,N/A                           
1 mPa·s             ,0.001                         
"['low', 'high']     ",N/A                          
high                ,N/A                          
high                ,N/A                          
high-viscosity      ,N/A                          
high/low            ,N/A                          
153.7 mPa s         ,0.1537                       
153.7 mPa s         ,0.1537                       
depends only on the viscosity of the dispersed phase ,N/A 
153.7 mPa s         ,0.1537                       
153.7 mPa·s         ,0.1537                       
['153.7 mPa·s']     ,[0.1537]                     
153.7 mPa·s         ,0.1537                       
high                ,N/A                          
153.7 mPa·s         ,0.1537                       
high                ,N/A                          
153.7 mPa·s         ,0.1537                       
variation affected by viscous stresses ,N/A      
high                ,N/A                          
high                ,N/A                          
"['10 mPa·s', '5 mPa·s'] ","[0.01, 0.005]            "
non-Newtonian or Newtonian ,N/A 
"[{'K': 0.34, 'n': 0.49}, {'K': 1.05, 'n': 0.41}, {'K': 2.87, 'n': 0.35}] ",N/A 
increased viscosity reduces coalescence efficiency ,N/A 
Characterized using an Ubbelohde capillary viscometer ,N/A 
volume-averaged values ,N/A 
μ ,N/A 
"['1.41 mPa s', '2.51 mPa s'] ","[0.00141, 0.00251] "
low ,N/A 
μ ,N/A 
μ ,N/A 
1.83 mPa s ,0.00183 
"['1.01 mPa s', '6.14 mPa s', '1.83 mPa s', '2.10 mPa s'] ","[0.00101, 0.00614, 0.00183, 0.00210] "
"['1.01 mPa s', '1.83 mPa s', '2.10 mPa s', '6.14 mPa s'] ","[0.00101, 0.00183, 0.00210, 0.00614] "
"[1.16, 6.14] ","[0.00116, 0.00614] "
