0.01           ,0.01                    
increases      ,N/A                     
WeD            ,N/A                     
We_G ,N/A 
We_L                ,N/A                    
_We_ G/ _We_ L      ,N/A                    
-                   ,N/A                    
0.0014 to 0.09      ,0.0457                 
Wed                 ,N/A                    
increased           ,N/A                    
"['0.0008', '5.8'] ","['0.0008', '5.8'] "
low                 ,N/A                    
'We' ,'N/A' 
"['3.5 × 10−5', '1.7 × 10−4'] ","[0.000035, 0.00017] "
"['3.5 × 10−5', '1.7 × 10−4'] ","[0.000035, 0.00017] "
3.5 × 10−5 ,0.000035 
"['0.01', '0.4'] ","[0.01, 0.4] "
0.1                 ,0.1                    
≤ 2                 ,1.0                    
ρ_G φ_c U_M^2 / σ   ,N/A                    
0.1            ,0.1              
0.05 ,0.05 
0.00068–0.108 ,0.05434 
We ,N/A 
"['0.0078', '3.15']  ","[0.0078, 3.15]         "
wb                  ,N/A                    
Wed=ρud2lσ          ,N/A                    
We_c                ,N/A                    
['increased']       ,['N/A']                
We_d                ,N/A                    
0.0020              ,0.0020                 
"['0.085', '0.48'] ","[0.085, 0.48] "
0.1                 ,0.1                    
'0.02' ,0.02 
'We' ,'N/A' 
"0.03–0.2, 0.00049–0.15, 0.006–0.25                                           ","[0.115, 0.075245, 0.128]        "
0.002 ,0.002 
"0.1, 0.5, 1.0       ","[0.1, 0.5, 1.0]        "
1.0 ,1.0 
We > 0.1            ,0.1                    
< 10−2 ,0.005 
4.073 × 10-5        ,0.00004073             
4.073 × 10-5        ,0.00004073             
"['4.27', '2.14', '8.53', '0.214', '21.4', '2.14', '2.14'] ","[4.27, 2.14, 8.53, 0.214, 21.4, 2.14, 2.14] "
We                  ,N/A                    
"['5.69', '106.9'] ","[5.69, 106.9] "
'varying' ,'N/A' 
"['0', '59.3'] ","[0.0, 59.3] "
"'25.5, 14.2' ","[25.5, 14.2] "
'0.3' ,0.3 
'25.5' ,25.5 
Wi                  ,N/A                    
Wi                  ,N/A                    
"['2.17', '4.63 × 10–7']           ","['2.17', '0.000000463'] "
"['2.77 × 10–4', '2.77 × 10–4'] ","[0.000277, 0.000277] "
"['1.57', '0.14', '5.85', '9.07'] ","[1.57, 0.14, 5.85, 9.07] "
"['18.5', '63.2', '66.4'] ","[18.5, 63.2, 66.4] "
'0.04' ,0.04 
"['0.04', '0'] ","[0.04, 0] "
'35.85' ,35.85 
"['0.14', '9.07', '35.85'] ","[0.14, 9.07, 35.85] "
'35.86' ,35.86 
wb_c           ,N/A             
wb_d ,N/A 
≪ 1                 ,N/A                    
We                  ,N/A                    
ρ⋅u⋅d2σ             ,N/A                    
'0.6'          ,0.6                    
'based on superficial velocity' ,'N/A' 
"['1.1 · 10−2', '1.1 · 10−4', '1.1 · 10−4', '1.1', '1.1 · 10−2', '3.1'] ","[0.011, 0.00011, 0.00011, 1.1, 0.011, 3.1] "
"['10−6 < Wek < 10−2', '10−6 < Wek < 10−4', '10−4 < Wek < 1', '10−2 < Wek < 1'] ","[0.000005, 0.0000005, 0.0005, 0.005] "
'1' ,1 
"['10−8 < Wepo < 10−4', '10−8 < Wepo < 10−2'] ","[0.00000005, 0.0000005] "
'Wew' ,'N/A' 
"[0.00052, 2.1e-06, 1.6e-07] ","[0.00052, 0.0000021, 0.00000016] "
'1' ,1 
"['2.4 · 10−6', '4 · 10−7', '4.3 · 10−1', '2.6 · 10−5', '4.1', '4.1'] ","[2.4e-06, 4e-07, 0.43, 2.6e-05, 4.1, 4.1] "
"['10−8 < Wew < 10−3', '10−4 < Wew < 2', '10−4 < Wew < 1', 'Wew < 10−5', '10−3 < Wew < 101'] ","[5e-06, 1, 0.5, 5e-06, 50] "
"['10−8 < Wew < 10−6', '10−6 < Wew < 1'] ","[5e-07, 0.5] "
'limited to 10−2' ,0.01 
'Wek' ,N/A 
'1' ,1 
"['0.1-10', '10-100']                     ","[5.05, 55]                      "
Weo=2ρoUo2Rc/σw/o                        ,N/A                             
We = ρw V2w Deff/σw ,N/A                    
0.1-1               ,0.55                   
0.01                ,0.01                   
'We' ,'N/A' 
'included the significance of the dispersed phase’s inertia force' ,'N/A' 
'critical sum of WeD increases for dripping-to-jetting transition' ,'N/A' 
'_Re_ _D_' ,'N/A' 
"[4e-07, 0.17]                               ","[4e-07, 0.17]             "
"[1e-06, 0.17] ","[0.000001, 0.17] "
"['larger for tubing', 'smaller for jetting'] ","['N/A', 'N/A'] "
Wec                 ,N/A                    
We c                ,N/A                    
We c                ,N/A                    
Wed                 ,N/A                    
We d                ,N/A                    
We d                ,N/A                    
0.02                ,0.02                   
WeLS=DH⋅jLS2⋅ρLσ ,N/A 
"['1.37×10−5∼3.46', '1.70×10−3∼70.32'] ","[1.73e-3, 35.16] "
0.048 ,0.048 
"['0.0259', '0.0115', '0.29', '1.15', '4.61', '4.61', '2.59', '28.83', '10.38', '28.83'] ","[0.0259, 0.0115, 0.29, 1.15, 4.61, 4.61, 2.59, 28.83, 10.38, 28.83] "
We_LS ,N/A 
low We_LS ,N/A 
3.04 ,3.04 
extremely low ,N/A 
"['0.0219', '1.15'] ","[0.0219, 1.15] "
"['8.86×10−2', '4.61'] ","[0.0886, 4.61] "
increasing ,N/A 
"['8.86e-2', '4.61'] ","[0.0886, 4.61] "
higher ,N/A 
"['2.22', '28.83'] ","[2.22, 28.83] "
"['0.55', '28.83'] ","[0.55, 28.83] "
We_LS ,N/A 
"['We_LS ≥0.94 exp(118.48 We_GS)', 'We_LS ≥(0.8–0.09 P) exp[(16.15–1.56 P) We_GS]'] ",N/A 
0.86 at atmospheric pressure and 0.57 at elevated pressure ,N/A 
"['We_LS > 0.24 We_GS - 0.79', 'We_LS > 2.12 We_GS - 1.04'] ",N/A 
We_LS ,N/A 
"['1.37x10^-5 to 3.46', '1.70x10^-3 to 70.32'] ","[1.73e-3, 35.16] "
'WeGS=DH⋅jGS2⋅ρrσ' ,'N/A' 
'3.1×10−3∼4.9' ,2.4 
'3.46' ,3.46 
"['3.17', '0.0495', '0.20', '3.17', '0.20', '0.0031', '3.17', '3.17', '0.0124', '0.0124'] ","[3.17, 0.0495, 0.20, 3.17, 0.20, 0.0031, 3.17, 3.17, 0.0124, 0.0124] "
'We_GS' ,'N/A' 
"['low We_GS', 'increasing We_GS'] ","['N/A', 'N/A'] "
'2.19×10−4' ,0.000219 
"['extremely low', 'increases at higher We_GS'] ","['N/A', 'N/A'] "
"['3.04', '3.17'] ","[3.04, 3.17] "
"['0.20', '0.20'] ","[0.20, 0.20] "
"['2.97e-3', '3.10e-3'] ","[0.00297, 0.0031] "
'lower' ,'N/A' 
"['1.19x10^-2', '4.95x10^-2'] ","[0.0119, 0.0495] "
"['3.04', '3.17'] ","[3.04, 3.17] "
'We_GS' ,'N/A' 
'<0.026 at atmospheric pressure and <0.0094 at elevated pressure' ,0.013 
'We_GS' ,'N/A' 
'3.1x10^-3 to 4.9' ,2.4 
high                ,N/A                    
_We dBi_-1          ,N/A                    
"'wb_d = 0.35, 0.175'                      ","[0.35, 0.175]                 "
mentioned but value not specified      ,N/A             
"['0.70', '1.30']          ","[0.70, 1.30]            "
"['1.26', '5.64']          ","[1.26, 5.64]            "
best prediction for toluene system ,N/A 
1.70×10−3                                              ,0.0017                   
1.1 · 10−4                                             ,0.00011                  
Weoh=9.0                                               ,9.0                      
wek = 2.28                                             ,2.28                     
wed = 3                                                ,3                        
"[""We=1.0e-3"", ""We=2.0e-4""]                             ","[0.001, 0.0002]          "
0.03-0.2                                               ,0.115                    
10−7 < We·Oh < 10−2                                    ,0.00005                  
0.025 to 3                                           ,1.5125                   
We > 0.001                                             ,0.001                    
≥0.01                                                  ,0.01                     
We < 0.001                                             ,0.0005                   
≤0.01                                                  ,0.005                    
"[Weoh=0.02, Wek=2×10−5]                                ","[0.02, 0.00002]          "
'Blank'                                                ,'N/A'                    
"[0.0001, ""0.002-0.02"", ""We·Oh≤0.0003""]                 ","[0.0001, 0.011, 0.00015] "
'Irrelevant information'                               ,'N/A'                    
"[""0.1 to 0.5"", ""0.5-1"", ""We·Oh<0.0001""]                ","[0.3, 0.75, 0.00005]     "
"[<0.004, ≥0.0002, ""2.50×10−5""]                         ","[0.002, 0.0002, 0.000025]"
high           ,N/A                    
< 0.1          ,0.05                   
high           ,N/A                    
provided                              ,N/A                    
increased                             ,N/A                    
high                                  ,N/A                    
increased                             ,N/A                    
_We_ D > 0.6                          ,0.6                    
increased by more than 125 times      ,N/A                    
We             ,N/A                    
wb_c           ,N/A                    
'wb_d'              ,'N/A'                  
ρv^2r/γ             ,N/A                    
below 1 ,0.5 
>1 ,1 
We ,N/A 
(6.5 × 10–3)–(1.6 × 10–1) ,0.08275 
23.4–41.7 ,32.55 
5.90–41.7 ,23.8 
(1.6 × 10–1)–5.90 ,3.75 
(1.6 × 10–3)–(1.6 × 10–1) ,0.0828 
(6.5 × 10–1)–41.7 ,21.1 
2.60–41.7 ,22.15 
2.60–23.4 ,13 
We ,N/A 
(1.9 × 10–3)–(7.5 × 10–1) ,"[0.0019, 0.75] "
3.00–27.0 ,"[3.0, 27.0] "
3.00–47.9 ,"[3.0, 47.9] "
(1.9 × 10–3)–(7.5 × 10–1) ,"[0.0019, 0.75] "
(1.9 × 10–3)–(1.9 × 10–1) ,"[0.0019, 0.19] "
(6.7 × 10–2)–36.7 ,"[0.067, 36.7] "
12.0–48.0 ,"[12.0, 48.0] "
3.00–27.0 ,"[3.0, 27.0] "
